Ward,Old Ward Code,Local Authority,ward_name,Geography,2010-14;Male;Life expectancy at birth,2010-14;Female;Life expectancy at birth,Median monthly houshold income,homes with good access to all four types of public open space% ,Employment rate 2011 (16-64),well-being scores,percent_green
E05000236,00AMGF,Hackney,De Beauvoir,Ward,76.9,81.3,39060,24.3,71.1,7.583671763,33.46773711
E05000237,00AMGG,Hackney,Hackney Central,Ward,78.7,84,35260,56.2,66.6,7.485612846,30.82894303
E05000238,00AMGH,Hackney,Hackney Downs,Ward,78.4,84.7,35700,44.5,65.1,7.381373522,46.14327643
E05000239,00AMGJ,Hackney,Haggerston,Ward,77.9,81.9,36080,49.2,67.4,7.583671763,32.1853827
E05000240,00AMGK,Hackney,Hoxton,Ward,78.6,83.1,34970,4.5,62.7,7.583671763,
E05000241,00AMGL,Hackney,Kings Park,Ward,79,85.4,31970,89.3,57.6,7.485612846,
E05000242,00AMGM,Hackney,Leabridge,Ward,75.5,79.9,35110,75.6,65.6,7.381373522,
E05000243,00AMGN,Hackney,Lordship,Ward,78.7,84.1,39940,2.8,64.6,7.399268582,
E05000244,00AMGP,Hackney,New River,Ward,80.4,84.5,35590,15.8,58.2,7.381373522,
E05000245,00AMGQ,Hackney,Queensbridge,Ward,77.8,85.1,36720,81.5,67.7,7.583671763,
E05000246,00AMGR,Hackney,Springfield,Ward,78.1,84.4,33570,67.6,53.8,7.381373522,40.57270511
E05000247,00AMGS,Hackney,Stoke Newington Central,Ward,81.1,85,42400,68.2,73.4,7.399268582,
E05000248,00AMGT,Hackney,Victoria,Ward,77.5,81.8,37350,90.3,65.6,7.485612846,40.17995954
E05000249,00AMGU,Hackney,Wick,Ward,75.5,82.3,32890,87.1,60.4,7.485612846,
E05000250,00ANGA,Hammersmith and Fulham,Addison,Ward,80.5,84.9,43970,8.5,76.2,7.866022729,20.76132657
E05000251,00ANGB,Hammersmith and Fulham,Askew,Ward,81.1,83.8,38450,62.6,71.8,7.866022729,24.63675811
E05000252,00ANGC,Hammersmith and Fulham,Avonmore and Brook Green,Ward,79.1,85,43350,10.3,69.5,7.866022729,25.81359389
E05000253,00ANGD,Hammersmith and Fulham,College Park and Old Oak,Ward,75.4,84.2,30890,19,62.6,7.866022729,43.77374347
E05000254,00ANGE,Hammersmith and Fulham,Fulham Broadway,Ward,78.9,81.2,42130,0.1,72.4,7.730176226,14.01363852
E05000255,00ANGF,Hammersmith and Fulham,Fulham Reach,Ward,80,82.1,42010,0.5,71,7.730176226,26.13132031
E05000256,00ANGG,Hammersmith and Fulham,Hammersmith Broadway,Ward,77.6,80.8,39500,20.8,69.9,7.730176226,16.91852096
E05000257,00ANGH,Hammersmith and Fulham,Munster,Ward,80.5,87.9,50240,28.1,76.7,7.730176226,16.69153396
E05000258,00ANGJ,Hammersmith and Fulham,North End,Ward,78.9,82.4,39510,0,72.7,7.730176226,16.85231275
E05000259,00ANGK,Hammersmith and Fulham,Palace Riverside,Ward,84.3,84.7,53330,73.6,74.3,7.730176226,35.28999108
E05000260,00ANGL,Hammersmith and Fulham,Parsons Green and Walham,Ward,81.1,85.8,55720,12.6,73.7,7.730176226,22.68786098
E05000261,00ANGM,Hammersmith and Fulham,Ravenscourt Park,Ward,77.7,81.2,45510,77.1,72.2,7.866022729,34.81976627
E05000262,00ANGN,Hammersmith and Fulham,Sands End,Ward,80.1,84.8,44170,2,69.3,7.730176226,16.09631667
E05000263,00ANGP,Hammersmith and Fulham,Shepherds Bush Green,Ward,77.8,82.9,36430,36.3,72,7.866022729,
E05000264,00ANGQ,Hammersmith and Fulham,Town,Ward,81.6,86.8,47940,15.3,76.4,7.730176226,37.3052016
E05000264,00ANGQ,Hammersmith and Fulham,Town,Ward,81.6,86.8,47940,15.3,76.4,7.730176226,11.14186243
E05000265,00ANGR,Hammersmith and Fulham,Wormholt and White City,Ward,79.2,87.3,31860,28.5,62.2,7.866022729,35.00207891
E05000266,00APGA,Haringey,Alexandra,Ward,81.1,86.2,51450,41.7,76.7,7.454470569,64.18105477
E05000266,00APGA,Haringey,Alexandra,Ward,81.1,86.2,51450,41.7,76.7,7.454470569,55.33777157
E05000267,00APGB,Haringey,Bounds Green,Ward,80,84.4,34550,34.7,69,7.478363578,36.2164892
E05000268,00APGC,Haringey,Bruce Grove,Ward,79.2,85.9,30340,32.5,61.8,7.399974575,25.83073595
E05000269,00APGD,Haringey,Crouch End,Ward,82.6,85.5,52070,16.4,80.9,7.454470569,52.15581761
E05000270,00APGE,Haringey,Fortis Green,Ward,82.1,83.9,49950,46.7,75.9,7.454470569,53.18745249
E05000271,00APGF,Haringey,Harringay,Ward,79.6,86.4,37150,11.2,71.8,7.454470569,43.49379208
E05000272,00APGG,Haringey,Highgate,Ward,82.6,87.1,53710,33,79,7.454470569,74.59614558
E05000272,00APGG,Haringey,Highgate,Ward,82.6,87.1,53710,33,79,7.454470569,66.44792645
E05000273,00APGH,Haringey,Hornsey,Ward,80.5,85.2,40260,51.1,72.4,7.454470569,30.80751442
E05000274,00APGJ,Haringey,Muswell Hill,Ward,82.6,87,53910,89.5,78.4,7.454470569,56.59163069
E05000275,00APGK,Haringey,Noel Park,Ward,77.4,84.4,30620,50.7,63.2,7.478363578,23.39359116
E05000276,00APGL,Haringey,Northumberland Park,Ward,76.3,83.9,25090,5.3,52.3,7.478363578,28.74524431
E05000277,00APGM,Haringey,St Anns,Ward,79.9,85.3,32460,38.7,65.6,7.454470569,
E05000278,00APGN,Haringey,Seven Sisters,Ward,81,84.1,33500,26.9,63.7,7.399974575,31.29322295
E05000279,00APGP,Haringey,Stroud Green,Ward,80.5,82,44780,35.1,77.3,7.454470569,42.74778602
E05000280,00APGQ,Haringey,Tottenham Green,Ward,76.4,81.5,28920,28.8,61.3,7.399974575,26.63464749
E05000281,00APGR,Haringey,Tottenham Hale,Ward,79.1,83.1,27340,73.4,56.3,7.399974575,35.33806193
E05000282,00APGS,Haringey,West Green,Ward,80.7,84.3,31110,93.1,63.3,7.399974575,46.01088436
E05000283,00APGT,Haringey,White Hart Lane,Ward,76.6,81.9,27010,48.9,54.8,7.478363578,45.72819848
E05000284,00APGU,Haringey,Woodside,Ward,79.6,84.4,32010,49.5,66.6,7.478363578,42.08767546
E05000284,00APGU,Haringey,Woodside,Ward,79.6,84.4,32010,49.5,66.6,7.478363578,37.85848692
E05000285,00AQFY,Harrow,Belmont,Ward,84.6,89.8,42380,0,71.8,7.46165132,43.58191067
E05000285,00AQFY,Harrow,Belmont,Ward,84.6,89.8,42380,0,71.8,7.46165132,50.22710933
E05000286,00AQFZ,Harrow,Canons,Ward,81.8,85.1,39890,0,71.9,7.46165132,69.8488313
E05000287,00AQGA,Harrow,Edgware,Ward,82.5,88,33600,0,68.6,7.46165132,63.92986738
E05000287,00AQGA,Harrow,Edgware,Ward,82.5,88,33600,0,68.6,7.46165132,34.87869705
E05000288,00AQGB,Harrow,Greenhill,Ward,77.8,83.8,37550,0,71.1,7.352077376,32.28950447
E05000289,00AQGC,Harrow,Harrow on the Hill,Ward,82.5,86.5,39630,0,68.2,7.352077376,68.61766121
E05000290,00AQGD,Harrow,Harrow Weald,Ward,79.5,86,36940,0,69.1,7.352077376,73.61424663
E05000291,00AQGE,Harrow,Hatch End,Ward,82.8,85.6,42350,0,73.2,7.352077376,61.07761205
E05000292,00AQGF,Harrow,Headstone North,Ward,83.8,90.2,44470,0,73.8,7.372779301,63.60461755
E05000293,00AQGG,Harrow,Headstone South,Ward,84.1,85.2,39090,0,71.7,7.372779301,42.35716453
E05000294,00AQGH,Harrow,Kenton East,Ward,82.5,87.1,32880,0,68.5,7.46165132,35.37030091
E05000295,00AQGJ,Harrow,Kenton West,Ward,82.2,84.8,38400,0,71.6,7.46165132,41.86382718
E05000296,00AQGK,Harrow,Marlborough,Ward,82.5,84.9,34450,0,68.4,7.352077376,30.20134369
E05000297,00AQGL,Harrow,Pinner,Ward,83.4,87.6,43950,0,71.8,7.372779301,63.27393593
E05000298,00AQGM,Harrow,Pinner South,Ward,85.8,90.9,49420,0,75.2,7.372779301,53.84120314
E05000299,00AQGN,Harrow,Queensbury,Ward,82,84.6,35030,0,68.1,7.46165132,34.04846842
E05000299,00AQGN,Harrow,Queensbury,Ward,82,84.6,35030,0,68.1,7.46165132,39.68981465
E05000300,00AQGP,Harrow,Rayners Lane,Ward,82.7,86.5,40310,0,71.5,7.372779301,39.68886497
E05000301,00AQGQ,Harrow,Roxbourne,Ward,81.1,87.3,32130,0,64.8,7.372779301,39.6003062
E05000302,00AQGR,Harrow,Roxeth,Ward,82.2,84.9,35110,0,68.6,7.372779301,47.25950221
E05000303,00AQGS,Harrow,Stanmore Park,Ward,83.5,86.3,39210,0,68.6,7.46165132,66.85436307
E05000304,00AQGT,Harrow,Wealdstone,Ward,80,82.4,32080,0,65.1,7.352077376,30.23619049
E05000305,00AQGU,Harrow,West Harrow,Ward,83.1,85.8,40210,0,71.5,7.372779301,46.35860539
E05000306,00ARGC,Havering,Brooklands,Ward,77.4,81.6,35250,0,72.7,7.923058603,53.45888064
E05000307,00ARGD,Havering,Cranham,Ward,84.6,86.9,42250,0,75.6,7.736354628,69.75945322
E05000308,00ARGE,Havering,Elm Park,Ward,79.6,84.7,34730,0,73.4,7.736354628,64.49018041
E05000309,00ARGF,Havering,Emerson Park,Ward,79.6,83.9,43790,0,74.3,7.923058603,59.36903896
E05000310,00ARGG,Havering,Gooshays,Ward,76.8,81.3,29400,0,63,7.71664998,74.87554908
E05000311,00ARGH,Havering,Hacton,Ward,80.9,85.3,39740,0,75.7,7.736354628,45.00426183
E05000312,00ARGJ,Havering,Harold Wood,Ward,79.3,84.3,37010,0,72.2,7.71664998,68.88103109
E05000313,00ARGK,Havering,Havering Park,Ward,77.2,82.1,33590,0,69.1,7.71664998,83.52709825
E05000314,00ARGL,Havering,Heaton,Ward,76.6,80.9,29560,0,64.3,7.71664998,56.12027143
E05000315,00ARGM,Havering,Hylands,Ward,83.1,86.6,39890,0,75.6,7.923058603,50.60289372
E05000316,00ARGN,Havering,Mawneys,Ward,81.8,87.5,35820,0,73.2,7.71664998,52.53671912
E05000317,00ARGP,Havering,Pettits,Ward,80.9,85.2,40010,0,74.9,7.71664998,58.05807799
E05000318,00ARGQ,Havering,Rainham and Wennington,Ward,79.3,83.6,34470,0,72.4,7.736354628,61.85810517
E05000319,00ARGR,Havering,Romford Town,Ward,80,85.4,37160,0,74.4,7.923058603,30.3072977
E05000320,00ARGS,Havering,St Andrews,Ward,80,83.8,38130,0,76.1,7.923058603,
E05000321,00ARGT,Havering,South Hornchurch,Ward,77.9,83.5,33160,0,70.5,7.736354628,43.18327243
E05000322,00ARGU,Havering,Squirrels Heath,Ward,81,85.1,41740,0,77.3,7.923058603,
E05000323,00ARGW,Havering,Upminster,Ward,81.1,84.1,47580,0,76.4,7.736354628,85.89908239
E05000324,00ASGG,Hillingdon,Barnhill,Ward,79.7,82.3,31800,0,65,7.155184976,54.39248194
E05000324,00ASGG,Hillingdon,Barnhill,Ward,79.7,82.3,31800,0,65,7.155184976,45.05682277
E05000325,00ASGH,Hillingdon,Botwell,Ward,77.4,79.9,30700,0,64,7.155184976,42.34171571
E05000326,00ASGJ,Hillingdon,Brunel,Ward,78.7,83.6,34630,0,57.5,7.460166286,49.2674429
E05000327,00ASGK,Hillingdon,Cavendish,Ward,81.6,85.9,43970,0,77.6,7.658076624,42.87342566
E05000328,00ASGL,Hillingdon,Charville,Ward,80.1,83.2,35410,0,71,7.155184976,59.56396944
E05000329,00ASGM,Hillingdon,Eastcote and East Ruislip,Ward,85.4,88.4,47380,0,76.8,7.658076624,61.88508782
E05000330,00ASGN,Hillingdon,Harefield,Ward,77.4,81.8,37990,0,75.7,7.658076624,77.49151744
E05000331,00ASGP,Hillingdon,Heathrow Villages,Ward,79.5,83,33170,0,71.7,7.719682902,35.38040004
E05000332,00ASGQ,Hillingdon,Hillingdon East,Ward,79.6,83.7,37250,0,72.4,7.460166286,62.42163576
E05000333,00ASGR,Hillingdon,Ickenham,Ward,83.4,86.5,48770,0,76.6,7.658076624,68.11695185
E05000334,00ASGS,Hillingdon,Manor,Ward,82.6,85,43460,0,80.5,7.658076624,42.02513011
E05000335,00ASGT,Hillingdon,Northwood,Ward,81.9,85.7,46550,0,73.3,7.658076624,76.56643189
E05000336,00ASGU,Hillingdon,Northwood Hills,Ward,81.7,85.7,43320,0,74.3,7.658076624,58.05360177
E05000337,00ASGW,Hillingdon,Pinkwell,Ward,80.7,84.9,31830,0,66.8,7.719682902,43.56301472
E05000338,00ASGX,Hillingdon,South Ruislip,Ward,79.3,84.1,40060,0,77.5,7.658076624,59.63862525
E05000339,00ASGY,Hillingdon,Townfield,Ward,77.5,82.5,30430,0,63.2,7.155184976,41.69913568
E05000340,00ASGZ,Hillingdon,Uxbridge North,Ward,81.8,84.6,41470,0.1,74,7.460166286,57.09634094
E05000341,00ASHA,Hillingdon,Uxbridge South,Ward,79.8,82.9,34270,0,56.8,7.460166286,38.2643076
E05000342,00ASHB,Hillingdon,West Drayton,Ward,78.4,80.3,32680,0,69,7.719682902,48.0417003
E05000343,00ASHC,Hillingdon,West Ruislip,Ward,80.1,83.6,43470,0,78.2,7.658076624,63.43524167
E05000344,00ASHD,Hillingdon,Yeading,Ward,80.2,82.5,33240,0,66.1,7.155184976,51.21306065
E05000345,00ASHE,Hillingdon,Yiewsley,Ward,79.3,83.9,32340,0,68.2,7.719682902,50.03106384
E05000346,00ATFY,Hounslow,Bedfont,Ward,78.4,83.3,31870,0,72.2,7.48624498,53.76708024
E05000347,00ATFZ,Hounslow,Brentford,Ward,80,85.8,35040,60.4,68,7.746910295,40.35959665
E05000348,00ATGA,Hounslow,Chiswick Homefields,Ward,81.9,85.7,51830,54,76.1,7.746910295,47.82426264
E05000349,00ATGB,Hounslow,Chiswick Riverside,Ward,82,89.2,49680,36.9,77.4,7.746910295,42.69492283
E05000350,00ATGC,Hounslow,Cranford,Ward,79,86,30860,0,65.6,7.461775288,39.93327575
E05000351,00ATGD,Hounslow,Feltham North,Ward,75.5,78.8,32850,0,71.6,7.48624498,47.18555569
E05000352,00ATGE,Hounslow,Feltham West,Ward,80.8,85.1,34010,0,71.8,7.48624498,56.70882006
E05000353,00ATGF,Hounslow,Hanworth,Ward,79.1,84.9,31150,51,66.9,7.48624498,54.42266687
E05000354,00ATGG,Hounslow,Hanworth Park,Ward,80,85.5,34340,3.2,72.9,7.48624498,57.53835654
E05000355,00ATGH,Hounslow,Heston Central,Ward,77.6,83.5,33580,19.1,66.6,7.461775288,32.61632151
E05000356,00ATGJ,Hounslow,Heston East,Ward,80.4,84.4,34030,34.2,67.5,7.461775288,44.23981004
E05000357,00ATGK,Hounslow,Heston West,Ward,79.7,83.8,29490,0,62.2,7.461775288,51.51328096
E05000358,00ATGL,Hounslow,Hounslow Central,Ward,82.1,85.2,35830,38.2,71.4,7.487639323,26.92888539
E05000359,00ATGM,Hounslow,Hounslow Heath,Ward,80.3,85.8,32530,20.9,67.6,7.487639323,58.89376063
E05000360,00ATGN,Hounslow,Hounslow South,Ward,81.8,89.3,39920,13.2,74.1,7.487639323,29.71147155
E05000361,00ATGP,Hounslow,Hounslow West,Ward,77.9,80.2,31890,16.7,69.6,7.487639323,23.56470516
E05000362,00ATGQ,Hounslow,Isleworth,Ward,79.2,84.8,34790,75.3,70.6,7.487639323,30.7244124
E05000363,00ATGR,Hounslow,Osterley and Spring Grove,Ward,82.2,83.8,42140,27.2,75.3,7.461775288,61.86302125
E05000364,00ATGS,Hounslow,Syon,Ward,78.1,79.3,37040,43.2,73,7.746910295,43.93774603
E05000365,00ATGT,Hounslow,Turnham Green,Ward,82.4,85.6,47080,58.6,77,7.746910295,31.61934666
E05000366,00AUFX,Islington,Barnsbury,Ward,77.1,82.2,44970,0,68.1,7.554691762,35.49112937
E05000367,00AUFY,Islington,Bunhill,Ward,80,84.8,39200,0,59.8,7.493293817,20.59135733
E05000368,00AUFZ,Islington,Caledonian,Ward,78.8,82.8,35840,0,61.7,7.554691762,27.05862105
E05000369,00AUGA,Islington,Canonbury,Ward,79.7,85.9,40590,0,69.2,7.493293817,48.43225056
E05000370,00AUGB,Islington,Clerkenwell,Ward,80.6,87.4,43350,0,62.6,7.493293817,24.72033137
E05000371,00AUGC,Islington,Finsbury Park,Ward,76,81.7,33620,37.1,65.4,7.822011109,26.82321299
E05000372,00AUGD,Islington,Highbury East,Ward,81,84.4,47810,12.9,74.5,7.822011109,50.06988966
E05000373,00AUGE,Islington,Highbury West,Ward,79.2,85.1,43800,29,74.5,7.822011109,33.58479883
E05000374,00AUGF,Islington,Hillrise,Ward,77.8,81.5,39090,2,65.7,7.380247901,42.01322624
E05000375,00AUGG,Islington,Holloway,Ward,79,83.2,35430,0,63.9,7.554691762,37.54274554
E05000376,00AUGH,Islington,Junction,Ward,75.3,80.7,39470,29.6,68.4,7.380247901,35.38493159
E05000377,00AUGJ,Islington,Mildmay,Ward,78.2,83.7,39300,7.1,68.6,7.822011109,48.09137165
E05000378,00AUGK,Islington,St Georges,Ward,78.4,90.4,40860,2.1,67.8,7.380247901,
E05000379,00AUGL,Islington,St Marys,Ward,81,82.4,46190,0,73,7.554691762,
E05000380,00AUGM,Islington,St Peters,Ward,78.3,79.7,43870,0,70.4,7.493293817,
E05000381,00AUGN,Islington,Tollington,Ward,77.4,86.4,38090,12.4,68.5,7.380247901,33.82807264
E05000382,00AWFY,Kensington and Chelsea,Abingdon,Ward,88.3,85.3,54690,81.1,66.2,7.769917653,24.50292441
E05000383,00AWFZ,Kensington and Chelsea,Brompton,Ward,90.2,87.3,64320,74.5,69.2,7.813124329,
E05000384,00AWGA,Kensington and Chelsea,Campden,Ward,86,89.5,65500,72.4,71.6,7.769917653,40.63385872
E05000385,00AWGB,Kensington and Chelsea,Colville,Ward,81.6,85.6,43560,0.7,69.9,7.80120069,24.87642429
E05000386,00AWGC,Kensington and Chelsea,Courtfield,Ward,91,86.4,61810,26.7,64.8,7.813124329,23.8476783
E05000387,00AWGD,Kensington and Chelsea,Cremorne,Ward,82.3,87.3,43920,64.2,63,7.813124329,
E05000388,00AWGE,Kensington and Chelsea,Earls Court,Ward,80.3,86.8,44100,0,68.5,7.769917653,
E05000389,00AWGF,Kensington and Chelsea,Golborne,Ward,76.6,83.6,30100,0,59.3,7.80120069,25.61793909
E05000390,00AWGG,Kensington and Chelsea,Hans Town,Ward,85.4,87.8,58100,35.1,69.1,7.813124329,
E05000391,00AWGH,Kensington and Chelsea,Holland,Ward,87,93.1,54770,95.1,66.4,7.769917653,47.52372063
E05000392,00AWGJ,Kensington and Chelsea,Norland,Ward,83.6,85.7,53430,75.4,67.4,7.80120069,39.91374117
E05000393,00AWGK,Kensington and Chelsea,Notting Barns,Ward,78.5,85.6,36690,14.1,61.8,7.80120069,
E05000394,00AWGL,Kensington and Chelsea,Pembridge,Ward,83.7,84.9,55710,31.4,74.8,7.80120069,30.56245039
E05000395,00AWGM,Kensington and Chelsea,Queens Gate,Ward,87.3,90,63630,86.9,66.3,7.769917653,
E05000396,00AWGN,Kensington and Chelsea,Redcliffe,Ward,84.3,88.4,54550,0,74.3,7.769917653,41.3430875
E05000397,00AWGP,Kensington and Chelsea,Royal Hospital,Ward,80.8,88.1,60600,79,72.8,7.813124329,29.33726462
E05000398,00AWGQ,Kensington and Chelsea,St Charles,Ward,75.1,80.9,36100,0,63.4,7.80120069,
E05000399,00AWGR,Kensington and Chelsea,Stanley,Ward,83.6,84.4,54990,23.5,73,7.813124329,22.07715543
E05000400,00AXFX,Kingston upon Thames,Alexandra,Ward,83.7,88.1,41390,0,75.1,7.510901849,64.18105477
E05000400,00AXFX,Kingston upon Thames,Alexandra,Ward,83.7,88.1,41390,0,75.1,7.510901849,55.33777157
E05000401,00AXFY,Kingston upon Thames,Berrylands,Ward,79.6,84.9,42330,0,74.8,7.510901849,43.77991782
E05000402,00AXFZ,Kingston upon Thames,Beverley,Ward,82.2,81.7,40700,0,71.6,7.512590619,44.14824327
E05000403,00AXGA,Kingston upon Thames,Canbury,Ward,81.8,85.9,45600,23,74.9,7.512590619,24.6410751
E05000404,00AXGB,Kingston upon Thames,Chessington North and Hook,Ward,79.7,87,37230,0.1,76.4,7.510901849,45.00844328
E05000405,00AXGC,Kingston upon Thames,Chessington South,Ward,82.5,83.6,38310,0,78.5,7.510901849,78.42347644
E05000406,00AXGD,Kingston upon Thames,Coombe Hill,Ward,82.8,84.4,45650,15.7,64.5,7.512590619,65.59868348
E05000407,00AXGE,Kingston upon Thames,Coombe Vale,Ward,84.2,86.7,44320,0,72.4,7.512590619,41.61588513
E05000408,00AXGF,Kingston upon Thames,Grove,Ward,80.7,85.5,41410,20.9,66.8,7.512590619,25.4470823
E05000409,00AXGG,Kingston upon Thames,Norbiton,Ward,77.9,80.9,34650,0,68.2,7.512590619,37.28106369
E05000410,00AXGH,Kingston upon Thames,Old Malden,Ward,83.9,88,41760,15.6,74,7.512590619,44.66989779
E05000411,00AXGJ,Kingston upon Thames,St James,Ward,80.7,83,41850,0,71.9,7.512590619,
E05000412,00AXGK,Kingston upon Thames,St Marks,Ward,81.9,84.4,44930,55.4,69.4,7.510901849,
E05000413,00AXGL,Kingston upon Thames,Surbiton Hill,Ward,79.8,82.9,43160,0.2,78.2,7.510901849,45.41324563
E05000414,00AXGM,Kingston upon Thames,Tolworth and Hook Rise,Ward,81.4,87.2,37840,0,76.2,7.510901849,45.60000741
E05000415,00AXGN,Kingston upon Thames,Tudor,Ward,83.7,87.5,48530,40.8,76.9,7.512590619,36.90621152
E05000416,00AYFZ,Lambeth,Bishops,Ward,80.1,83.1,40360,0,66.2,7.694809178,
E05000417,00AYGA,Lambeth,Brixton Hill,Ward,76.7,82.7,39050,45.3,75.3,7.593995653,24.04495131
E05000418,00AYGB,Lambeth,Clapham Common,Ward,78.3,83.1,49520,45,80.3,7.593995653,42.66206983
E05000419,00AYGC,Lambeth,Clapham Town,Ward,75.2,82.6,44960,61.1,80,7.593995653,28.60134766
E05000420,00AYGD,Lambeth,Coldharbour,Ward,77.8,86.3,32220,0.2,64.9,7.593995653,26.22550131
E05000421,00AYGE,Lambeth,Ferndale,Ward,77.5,84.7,39480,7.1,77,7.593995653,16.87540721
E05000422,00AYGF,Lambeth,Gipsy Hill,Ward,78.5,82.7,36650,0,69.7,7.692148526,44.88554732
E05000423,00AYGG,Lambeth,Herne Hill,Ward,78.2,84.8,41700,0,75.3,7.593995653,45.55049911
E05000424,00AYGH,Lambeth,Knights Hill,Ward,76.9,80.8,36950,0,68.8,7.692148526,
E05000425,00AYGJ,Lambeth,Larkhall,Ward,75.5,81,37260,5.2,73.5,7.694809178,24.92049551
E05000426,00AYGK,Lambeth,Oval,Ward,79,82.3,39200,0,74.3,7.694809178,25.72128849
E05000427,00AYGL,Lambeth,Princes,Ward,78.4,85.8,37600,0,71.1,7.694809178,
E05000428,00AYGM,Lambeth,St Leonards,Ward,80.1,85.7,39880,54.5,75.6,7.692148526,
E05000429,00AYGN,Lambeth,Stockwell,Ward,79.2,82.4,35050,0,71.2,7.694809178,26.66595821
E05000430,00AYGP,Lambeth,Streatham Hill,Ward,78.1,81.6,39250,23.9,74.6,7.692148526,34.16130417
E05000431,00AYGQ,Lambeth,Streatham South,Ward,81.9,84.4,36710,22.2,70.4,7.692148526,41.84380386
E05000432,00AYGR,Lambeth,Streatham Wells,Ward,78.8,81.8,38270,5.7,74.2,7.692148526,38.37098234
E05000433,00AYGS,Lambeth,Thornton,Ward,82.1,86.4,41880,59.1,74.3,7.692148526,31.50251436
E05000434,00AYGT,Lambeth,Thurlow Park,Ward,80.8,84.2,41600,0,74,7.692148526,42.54134514
E05000435,00AYGU,Lambeth,Tulse Hill,Ward,79.8,85.3,35610,5.8,70.5,7.593995653,31.85940184
E05000436,00AYGW,Lambeth,Vassall,Ward,79.4,87.7,34830,0,67.6,7.694809178,30.50079186
E05000437,00AZGD,Lewisham,Bellingham,Ward,77.6,82,31340,0,64.9,7.73131121,53.22632939
E05000438,00AZGE,Lewisham,Blackheath,Ward,79.3,83.3,44870,0,74.1,7.655520747,57.19322356
E05000439,00AZGF,Lewisham,Brockley,Ward,77.6,82.5,38100,0,71.3,7.713258772,38.67728319
E05000440,00AZGG,Lewisham,Catford South,Ward,78.5,83.9,39070,0,70.2,7.655520747,30.11299604
E05000441,00AZGH,Lewisham,Crofton Park,Ward,81.1,86.5,42560,0,73.9,7.713258772,36.4428668
E05000442,00AZGJ,Lewisham,Downham,Ward,79.4,85,30880,0,63.6,7.73131121,47.46666295
E05000443,00AZGK,Lewisham,Evelyn,Ward,77.9,82.5,30560,0,63.7,7.713258772,24.89269956
